company,gbfs_href,href,id,name,stations,location.city,location.country,location.latitude,location.longitude,distance
"['PBSC', 'Alta Bicycle Share, Inc']",https://asp.publicbikesystem.net/ube/gbfs/v1/gbfs.json,/v2/networks/we-cycle,we-cycle,WE-cycle,"[{'empty_slots': 0, 'extra': {'address': 'Aspen', 'last_updated': 1611160237, 'renting': 0, 'returning': 1, 'uid': '400'}, 'free_bikes': 0, 'id': '0b612587d1235dc640875b7ef8ad5508', 'latitude': 39.187457, 'longitude': -106.819228, 'name': 'Rubey Park', 'timestamp': '2021-01-20T16:33:52.920000Z'}]","Aspen, CO",US,39.194951,-106.837002,16.96106300000001
"['Clean Energy Coalition', 'BCycle, LLC']",https://gbfs.bcycle.com/bcycle_arborbike/gbfs.json,/v2/networks/arborbike,arborbike,ArborBike,"[{'empty_slots': 7, 'extra': {'address': '2375 Hubbardd Rd.', 'last_updated': 1564057143, 'renting': 0, 'returning': 0, 'uid': 'bcycle_arborbike_2832'}, 'free_bikes': 6, 'id': '9101d72f2bedf1217924a691966e96f7', 'latitude': 42.29492, 'longitude': -83.71988, 'name': 'Murfin & Hubbard', 'timestamp': '2019-07-25T12:19:03.556000Z'}]","Ann Arbor, MI",US,42.27853,-83.74536,43.136284
